CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,NÚMERO PRODUTO,DESCRIÇÃO DO PRODUTO/SERVIÇO,CÓDIGO NCM/SH,NCM/SH (TIPO DE PRODUTO),CFOP,QUANTIDADE,UNIDADE,VALOR UNITÁRIO,VALOR TOTAL
,,,,,,,,,,,,,,,,,,Produto 13,Produto 13,,Produto 13,,10,,225.77,225.77
,,,,,,,,,,,,,,,,,,Produto 56,Produto 56,,Produto 56,,15,,233.47,233.47
,,,,,,,,,,,,,,,,,,Produto 35,Produto 35,,Produto 35,,17,,407.98,407.98
,,,,,,,,,,,,,,,,,,Produto 13,Produto 13,,Produto 13,,16,,386.06,386.06
,,,,,,,,,,,,,,,,,,Produto 42,Produto 42,,Produto 42,,13,,47.62,47.62
,,,,,,,,,,,,,,,,,,Produto 86,Produto 86,,Produto 86,,12,,65.34,65.34
,,,,,,,,,,,,,,,,,,Produto 40,Produto 40,,Produto 40,,13,,164.33,164.33
,,,,,,,,,,,,,,,,,,Produto 86,Produto 86,,Produto 86,,18,,342.26,342.26
,,,,,,,,,,,,,,,,,,Produto 53,Produto 53,,Produto 53,,2,,422.61,422.61
,,,,,,,,,,,,,,,,,,Produto 5,Produto 5,,Produto 5,,10,,477.05,477.05
,,,,,,,,,,,,,,,,,,Produto 37,Produto 37,,Produto 37,,1,,98.91,98.91
,,,,,,,,,,,,,,,,,,Produto 85,Produto 85,,Produto 85,,12,,439.00,439.00
,,,,,,,,,,,,,,,,,,Produto 49,Produto 49,,Produto 49,,10,,123.80,123.80
,,,,,,,,,,,,,,,,,,Produto 51,Produto 51,,Produto 51,,11,,216.11,216.11
,,,,,,,,,,,,,,,,,,Produto 29,Produto 29,,Produto 29,,9,,332.11,332.11
,,,,,,,,,,,,,,,,,,Produto 8,Produto 8,,Produto 8,,6,,362.24,362.24
,,,,,,,,,,,,,,,,,,Produto 15,Produto 15,,Produto 15,,2,,19.85,19.85
,,,,,,,,,,,,,,,,,,Produto 7,Produto 7,,Produto 7,,8,,483.73,483.73
,,,,,,,,,,,,,,,,,,Produto 50,Produto 50,,Produto 50,,7,,340.31,340.31
,,,,,,,,,,,,,,,,,,Produto 98,Produto 98,,Produto 98,,5,,396.00,396.00
,,,,,,,,,,,,,,,,,,Produto 62,Produto 62,,Produto 62,,15,,113.16,113.16
,,,,,,,,,,,,,,,,,,Produto 23,Produto 23,,Produto 23,,11,,455.07,455.07
,,,,,,,,,,,,,,,,,,Produto 63,Produto 63,,Produto 63,,18,,338.20,338.20
,,,,,,,,,,,,,,,,,,Produto 75,Produto 75,,Produto 75,,6,,31.16,31.16
,,,,,,,,,,,,,,,,,,Produto 66,Produto 66,,Produto 66,,11,,348.25,348.25
,,,,,,,,,,,,,,,,,,Produto 31,Produto 31,,Produto 31,,1,,170.00,170.00
,,,,,,,,,,,,,,,,,,Produto 44,Produto 44,,Produto 44,,15,,109.17,109.17
,,,,,,,,,,,,,,,,,,Produto 48,Produto 48,,Produto 48,,12,,393.35,393.35
,,,,,,,,,,,,,,,,,,Produto 39,Produto 39,,Produto 39,,11,,227.20,227.20
