CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,NÚMERO PRODUTO,DESCRIÇÃO DO PRODUTO/SERVIÇO,CÓDIGO NCM/SH,NCM/SH (TIPO DE PRODUTO),CFOP,QUANTIDADE,UNIDADE,VALOR UNITÁRIO,VALOR TOTAL
,,,,,,,,,,,,,,,,,,Produto 11,Produto 11,,Produto 11,,6,,354.10,354.10
,,,,,,,,,,,,,,,,,,Produto 2,Produto 2,,Produto 2,,15,,322.31,322.31
,,,,,,,,,,,,,,,,,,Produto 72,Produto 72,,Produto 72,,5,,382.62,382.62
,,,,,,,,,,,,,,,,,,Produto 22,Produto 22,,Produto 22,,18,,264.82,264.82
,,,,,,,,,,,,,,,,,,Produto 38,Produto 38,,Produto 38,,5,,218.07,218.07
,,,,,,,,,,,,,,,,,,Produto 48,Produto 48,,Produto 48,,12,,397.71,397.71
,,,,,,,,,,,,,,,,,,Produto 16,Produto 16,,Produto 16,,6,,73.61,73.61
,,,,,,,,,,,,,,,,,,Produto 59,Produto 59,,Produto 59,,5,,325.13,325.13
,,,,,,,,,,,,,,,,,,Produto 24,Produto 24,,Produto 24,,13,,25.61,25.61
,,,,,,,,,,,,,,,,,,Produto 59,Produto 59,,Produto 59,,6,,193.96,193.96
,,,,,,,,,,,,,,,,,,Produto 53,Produto 53,,Produto 53,,15,,227.51,227.51
,,,,,,,,,,,,,,,,,,Produto 19,Produto 19,,Produto 19,,9,,466.24,466.24
,,,,,,,,,,,,,,,,,,Produto 51,Produto 51,,Produto 51,,7,,498.84,498.84
,,,,,,,,,,,,,,,,,,Produto 58,Produto 58,,Produto 58,,11,,362.94,362.94
,,,,,,,,,,,,,,,,,,Produto 95,Produto 95,,Produto 95,,6,,487.83,487.83
,,,,,,,,,,,,,,,,,,Produto 82,Produto 82,,Produto 82,,1,,257.60,257.60
,,,,,,,,,,,,,,,,,,Produto 84,Produto 84,,Produto 84,,3,,107.12,107.12
,,,,,,,,,,,,,,,,,,Produto 74,Produto 74,,Produto 74,,5,,429.31,429.31
,,,,,,,,,,,,,,,,,,Produto 61,Produto 61,,Produto 61,,10,,138.31,138.31
,,,,,,,,,,,,,,,,,,Produto 85,Produto 85,,Produto 85,,17,,169.78,169.78
,,,,,,,,,,,,,,,,,,Produto 49,Produto 49,,Produto 49,,3,,239.46,239.46
,,,,,,,,,,,,,,,,,,Produto 85,Produto 85,,Produto 85,,13,,350.07,350.07
,,,,,,,,,,,,,,,,,,Produto 26,Produto 26,,Produto 26,,8,,172.18,172.18
,,,,,,,,,,,,,,,,,,Produto 37,Produto 37,,Produto 37,,3,,434.98,434.98
,,,,,,,,,,,,,,,,,,Produto 66,Produto 66,,Produto 66,,6,,251.02,251.02
,,,,,,,,,,,,,,,,,,Produto 46,Produto 46,,Produto 46,,11,,176.61,176.61
,,,,,,,,,,,,,,,,,,Produto 71,Produto 71,,Produto 71,,6,,51.84,51.84
,,,,,,,,,,,,,,,,,,Produto 9,Produto 9,,Produto 9,,15,,342.21,342.21
,,,,,,,,,,,,,,,,,,Produto 80,Produto 80,,Produto 80,,4,,94.93,94.93
,,,,,,,,,,,,,,,,,,Produto 23,Produto 23,,Produto 23,,9,,420.33,420.33
,,,,,,,,,,,,,,,,,,Produto 28,Produto 28,,Produto 28,,16,,286.81,286.81
,,,,,,,,,,,,,,,,,,Produto 97,Produto 97,,Produto 97,,9,,142.75,142.75
,,,,,,,,,,,,,,,,,,Produto 88,Produto 88,,Produto 88,,13,,14.28,14.28
,,,,,,,,,,,,,,,,,,Produto 43,Produto 43,,Produto 43,,8,,371.10,371.10
,,,,,,,,,,,,,,,,,,Produto 7,Produto 7,,Produto 7,,10,,176.89,176.89
,,,,,,,,,,,,,,,,,,Produto 1,Produto 1,,Produto 1,,10,,256.90,256.90
,,,,,,,,,,,,,,,,,,Produto 54,Produto 54,,Produto 54,,3,,301.53,301.53
,,,,,,,,,,,,,,,,,,Produto 2,Produto 2,,Produto 2,,12,,336.74,336.74
,,,,,,,,,,,,,,,,,,Produto 84,Produto 84,,Produto 84,,1,,10.56,10.56
,,,,,,,,,,,,,,,,,,Produto 1,Produto 1,,Produto 1,,13,,290.32,290.32
,,,,,,,,,,,,,,,,,,Produto 46,Produto 46,,Produto 46,,11,,109.65,109.65
,,,,,,,,,,,,,,,,,,Produto 45,Produto 45,,Produto 45,,13,,106.65,106.65
,,,,,,,,,,,,,,,,,,Produto 80,Produto 80,,Produto 80,,8,,74.16,74.16
,,,,,,,,,,,,,,,,,,Produto 54,Produto 54,,Produto 54,,15,,79.22,79.22
,,,,,,,,,,,,,,,,,,Produto 11,Produto 11,,Produto 11,,1,,377.66,377.66
,,,,,,,,,,,,,,,,,,Produto 43,Produto 43,,Produto 43,,5,,203.33,203.33
,,,,,,,,,,,,,,,,,,Produto 50,Produto 50,,Produto 50,,7,,126.91,126.91
,,,,,,,,,,,,,,,,,,Produto 7,Produto 7,,Produto 7,,17,,448.01,448.01
,,,,,,,,,,,,,,,,,,Produto 71,Produto 71,,Produto 71,,4,,273.29,273.29
,,,,,,,,,,,,,,,,,,Produto 32,Produto 32,,Produto 32,,13,,151.49,151.49
,,,,,,,,,,,,,,,,,,Produto 55,Produto 55,,Produto 55,,16,,212.05,212.05
,,,,,,,,,,,,,,,,,,Produto 69,Produto 69,,Produto 69,,19,,66.03,66.03
,,,,,,,,,,,,,,,,,,Produto 53,Produto 53,,Produto 53,,4,,84.26,84.26
,,,,,,,,,,,,,,,,,,Produto 50,Produto 50,,Produto 50,,16,,328.25,328.25
,,,,,,,,,,,,,,,,,,Produto 21,Produto 21,,Produto 21,,4,,341.65,341.65
,,,,,,,,,,,,,,,,,,Produto 39,Produto 39,,Produto 39,,17,,445.60,445.60
,,,,,,,,,,,,,,,,,,Produto 2,Produto 2,,Produto 2,,16,,337.47,337.47
,,,,,,,,,,,,,,,,,,Produto 97,Produto 97,,Produto 97,,3,,113.91,113.91
,,,,,,,,,,,,,,,,,,Produto 51,Produto 51,,Produto 51,,2,,54.41,54.41
