CHAVE DE ACESSO,MODELO,SÉRIE,NÚMERO,NATUREZA DA OPERAÇÃO,DATA EMISSÃO,EVENTO MAIS RECENTE,DATA/HORA EVENTO MAIS RECENTE,CPF/CNPJ Emitente,RAZÃO SOCIAL EMITENTE,INSCRIÇÃO ESTADUAL EMITENTE,UF EMITENTE,MUNICÍPIO EMITENTE,CNPJ DESTINATÁRIO,NOME DESTINATÁRIO,UF DESTINATÁRIO,INDICADOR IE DESTINATÁRIO,DESTINO DA OPERAÇÃO,CONSUMIDOR FINAL,PRESENÇA DO COMPRADOR,VALOR NOTA FISCAL
,,,,,2024-09-06,,2024-09-06,10000005/0001-05,,,,Delta Serviços,10000005/0001-05,Delta Serviços,,,,,,202409-0001
,,,,,2024-09-01,,2024-09-01,10000022/0001-22,,,,Delta Serviços,10000022/0001-22,Delta Serviços,,,,,,202409-0002
,,,,,2024-09-02,,2024-09-02,10000015/0001-15,,,,Delta Serviços,10000015/0001-15,Delta Serviços,,,,,,202409-0003
,,,,,2024-09-18,,2024-09-18,10000006/0001-06,,,,Beta Distribuição SA,10000006/0001-06,Beta Distribuição SA,,,,,,202409-0004
,,,,,2024-09-02,,2024-09-02,10000011/0001-11,,,,Zeta Ltda,10000011/0001-11,Zeta Ltda,,,,,,202409-0005
,,,,,2024-09-23,,2024-09-23,10000014/0001-14,,,,Sigma Distribuições,10000014/0001-14,Sigma Distribuições,,,,,,202409-0006
,,,,,2024-09-01,,2024-09-01,10000022/0001-22,,,,Omega Comércio,10000022/0001-22,Omega Comércio,,,,,,202409-0007
,,,,,2024-09-16,,2024-09-16,10000017/0001-17,,,,ACME Comércio Ltda,10000017/0001-17,ACME Comércio Ltda,,,,,,202409-0008
,,,,,2024-09-02,,2024-09-02,10000023/0001-23,,,,Zeta Ltda,10000023/0001-23,Zeta Ltda,,,,,,202409-0009
,,,,,2024-09-23,,2024-09-23,10000012/0001-12,,,,Beta Distribuição SA,10000012/0001-12,Beta Distribuição SA,,,,,,202409-0010
,,,,,2024-09-16,,2024-09-16,10000014/0001-14,,,,Gamma Importações,10000014/0001-14,Gamma Importações,,,,,,202409-0011
,,,,,2024-09-03,,2024-09-03,10000019/0001-19,,,,Omega Comércio,10000019/0001-19,Omega Comércio,,,,,,202409-0012
,,,,,2024-09-09,,2024-09-09,10000016/0001-16,,,,Gamma Importações,10000016/0001-16,Gamma Importações,,,,,,202409-0013
,,,,,2024-09-13,,2024-09-13,10000023/0001-23,,,,ACME Comércio Ltda,10000023/0001-23,ACME Comércio Ltda,,,,,,202409-0014
,,,,,2024-09-01,,2024-09-01,10000034/0001-34,,,,Gamma Importações,10000034/0001-34,Gamma Importações,,,,,,202409-0015
,,,,,2024-09-21,,2024-09-21,10000018/0001-18,,,,Beta Distribuição SA,10000018/0001-18,Beta Distribuição SA,,,,,,202409-0016
,,,,,2024-09-09,,2024-09-09,10000023/0001-23,,,,Zeta Ltda,10000023/0001-23,Zeta Ltda,,,,,,202409-0017
,,,,,2024-09-07,,2024-09-07,10000026/0001-26,,,,Sigma Distribuições,10000026/0001-26,Sigma Distribuições,,,,,,202409-0018
,,,,,2024-09-18,,2024-09-18,10000029/0001-29,,,,Beta Distribuição SA,10000029/0001-29,Beta Distribuição SA,,,,,,202409-0019
,,,,,2024-09-04,,2024-09-04,10000039/0001-39,,,,Gamma Importações,10000039/0001-39,Gamma Importações,,,,,,202409-0020
,,,,,2024-09-05,,2024-09-05,10000034/0001-34,,,,Epsilon Produtos,10000034/0001-34,Epsilon Produtos,,,,,,202409-0021
,,,,,2024-09-19,,2024-09-19,10000042/0001-42,,,,Delta Serviços,10000042/0001-42,Delta Serviços,,,,,,202409-0022
,,,,,2024-09-24,,2024-09-24,10000032/0001-32,,,,ACME Comércio Ltda,10000032/0001-32,ACME Comércio Ltda,,,,,,202409-0023
,,,,,2024-09-24,,2024-09-24,10000027/0001-27,,,,Gamma Importações,10000027/0001-27,Gamma Importações,,,,,,202409-0024
,,,,,2024-09-25,,2024-09-25,10000034/0001-34,,,,ACME Comércio Ltda,10000034/0001-34,ACME Comércio Ltda,,,,,,202409-0025
,,,,,2024-09-09,,2024-09-09,10000030/0001-30,,,,Delta Serviços,10000030/0001-30,Delta Serviços,,,,,,202409-0026
,,,,,2024-09-23,,2024-09-23,10000039/0001-39,,,,Delta Serviços,10000039/0001-39,Delta Serviços,,,,,,202409-0027
,,,,,2024-09-20,,2024-09-20,10000048/0001-48,,,,Delta Serviços,10000048/0001-48,Delta Serviços,,,,,,202409-0028
